Index,PubmedID,Condition,Study
236,24603685,T2DM,"Dayeh T, Volkov P, Salö S, Hall E, Nilsson E, Olsson AH, Kirkpatrick CL, Wollheim CB, Eliasson L, Rönn T, Bacos K, Ling C. Genome-wide DNA methylation analysis of human pancreatic islets from type 2 diabetic and non-diabetic donors identifies candidate genes that influence insulin secretion. PLoS Genet. 2014 Mar 6;10(3):e1004160. doi: 10.1371/journal.pgen.1004160. PMID: 24603685; PMCID: PMC3945174."
237,28052964,T2DM,"Volkov P, Bacos K, Ofori JK, Esguerra JL, Eliasson L, Rönn T, Ling C. Whole-Genome Bisulfite Sequencing of Human Pancreatic Islets Reveals Novel Differentially Methylated Regions in Type 2 Diabetes Pathogenesis. Diabetes. 2017 Apr;66(4):1074-1085. doi: 10.2337/db16-0996. Epub 2017 Jan 4. PMID: 28052964."
238,23251491,T2DM,"Ribel-Madsen R, Fraga MF, Jacobsen S, Bork-Jensen J, Lara E, Calvanese V, Fernandez AF, Friedrichsen M, Vind BF, Højlund K, Beck-Nielsen H, Esteller M, Vaag A, Poulsen P. Genome-wide analysis of DNA methylation differences in muscle and fat from monozygotic twins discordant for type 2 diabetes. PLoS One. 2012;7(12):e51302. doi: 10.1371/journal.pone.0051302. Epub 2012 Dec 10. PMID: 23251491; PMCID: PMC3519577."
239,24812430,T2DM,"Nilsson E, Jansson PA, Perfilyev A, Volkov P, Pedersen M, Svensson MK, Poulsen P, Ribel-Madsen R, Pedersen NL, Almgren P, Fadista J, Rönn T, Klarlund Pedersen B, Scheele C, Vaag A, Ling C. Altered DNA methylation and differential expression of genes influencing metabolism and inflammation in adipose tissue from subjects with type 2 diabetes. Diabetes. 2014 Sep;63(9):2962-76. doi: 10.2337/db13-1459. Epub 2014 May 8. PMID: 24812430."
240,34315727,T2DM,"Nilsson E, Vavakova M, Perfilyev A, Säll J, Jansson PA, Poulsen P, Esguerra JLS, Eliasson L, Vaag A, Göransson O, Ling C. Differential DNA Methylation and Expression of miRNAs in Adipose Tissue From Twin Pairs Discordant for Type 2 Diabetes. Diabetes. 2021 Oct;70(10):2402-2418. doi: 10.2337/db20-0324. Epub 2021 Jul 27. PMID: 34315727."
241,27148772,T2DM,"Dayeh T, Tuomi T, Almgren P, Perfilyev A, Jansson PA, de Mello VD, Pihlajamäki J, Vaag A, Groop L, Nilsson E, Ling C. DNA methylation of loci within ABCG1 and PHOSPHO1 in blood DNA is associated with future type 2 diabetes risk. Epigenetics. 2016 Jul 2;11(7):482-8. doi: 10.1080/15592294.2016.1178418. Epub 2016 May 5. PMID: 27148772; PMCID: PMC4939923."
242,24603685,T2DM,"Dayeh T, Volkov P, Salö S, Hall E, Nilsson E, Olsson AH, Kirkpatrick CL, Wollheim CB, Eliasson L, Rönn T, Bacos K, Ling C. Genome-wide DNA methylation analysis of human pancreatic islets from type 2 diabetic and non-diabetic donors identifies candidate genes that influence insulin secretion. PLoS Genet. 2014 Mar 6;10(3):e1004160. doi: 10.1371/journal.pgen.1004160. PMID: 24603685; PMCID: PMC3945174."
243,25375650,T2DM,"Olsson AH, Volkov P, Bacos K, Dayeh T, Hall E, Nilsson EA, Ladenvall C, Rönn T, Ling C. Genome-wide associations between genetic and epigenetic variation influence mRNA expression and insulin secretion in human pancreatic islets. PLoS Genet. 2014 Nov 6;10(11):e1004735. doi: 10.1371/journal.pgen.1004735. Erratum in: PLoS Genet. 2014 Dec;10(12):e1004886. PMID: 25375650; PMCID: PMC4222689."
244,23462794,T2DM,"Dayeh TA, Olsson AH, Volkov P, Almgren P, Rönn T, Ling C. Identification of CpG-SNPs associated with type 2 diabetes and differential DNA methylation in human pancreatic islets. Diabetologia. 2013 May;56(5):1036-46. doi: 10.1007/s00125-012-2815-7. Epub 2013 Mar 6. PMID: 23462794; PMCID: PMC3622750."
245,30641161,T2DM,"Shah UJ, Xie W, Flyvbjerg A, Nolan JJ, Højlund K, Walker M, Relton CL, Elliott HR; RISC consortium. Differential methylation of the type 2 diabetes susceptibility locus KCNQ1 is associated with insulin sensitivity and is predicted by CpG site specific genetic variation. Diabetes Res Clin Pract. 2019 Feb;148:189-199. doi: 10.1016/j.diabres.2019.01.008. Epub 2019 Jan 11. PMID: 30641161; PMCID: PMC6395844."
246,26095709,T2DM,"Chambers JC, Loh M, Lehne B, Drong A, Kriebel J, Motta V, Wahl S, Elliott HR, Rota F, Scott WR, Zhang W, Tan ST, Campanella G, Chadeau-Hyam M, Yengo L, Richmond RC, Adamowicz-Brice M, Afzal U, Bozaoglu K, Mok ZY, Ng HK, Pattou F, Prokisch H, Rozario MA, Tarantini L, Abbott J, Ala-Korpela M, Albetti B, Ammerpohl O, Bertazzi PA, Blancher C, Caiazzo R, Danesh J, Gaunt TR, de Lusignan S, Gieger C, Illig T, Jha S, Jones S, Jowett J, Kangas AJ, Kasturiratne A, Kato N, Kotea N, Kowlessur S, Pitkäniemi J, Punjabi P, Saleheen D, Schafmayer C, Soininen P, Tai ES, Thorand B, Tuomilehto J, Wickremasinghe AR, Kyrtopoulos SA, Aitman TJ, Herder C, Hampe J, Cauchi S, Relton CL, Froguel P, Soong R, Vineis P, Jarvelin MR, Scott J, Grallert H, Bollati V, Elliott P, McCarthy MI, Kooner JS. Epigenome-wide association of DNA methylation markers in peripheral blood from Indian Asians and Europeans with incident type 2 diabetes: a nested case-control study. Lancet Diabetes Endocrinol. 2015 Jul;3(7):526-534. doi: 10.1016/S2213-8587(15)00127-8. Epub 2015 Jun 18. PMID: 26095709; PMCID: PMC4724884."
247,35169870,T2DM,"Fraszczyk E, Spijkerman AMW, Zhang Y, Brandmaier S, Day FR, Zhou L, Wackers P, Dollé MET, Bloks VW, Gào X, Gieger C, Kooner J, Kriebel J, Picavet HSJ, Rathmann W, Schöttker B, Loh M, Verschuren WMM, van Vliet-Ostaptchouk JV, Wareham NJ, Chambers JC, Ong KK, Grallert H, Brenner H, Luijten M, Snieder H. Epigenome-wide association study of incident type 2 diabetes: a meta-analysis of five prospective European cohorts. Diabetologia. 2022 May;65(5):763-776. doi: 10.1007/s00125-022-05652-2. Epub 2022 Feb 15. PMID: 35169870; PMCID: PMC8960572."
248,26101197,T2DM,"Kulkarni H, Kos MZ, Neary J, Dyer TD, Kent JW Jr, Göring HH, Cole SA, Comuzzie AG, Almasy L, Mahaney MC, Curran JE, Blangero J, Carless MA. Novel epigenetic determinants of type 2 diabetes in Mexican-American families. Hum Mol Genet. 2015 Sep 15;24(18):5330-44. doi: 10.1093/hmg/ddv232. Epub 2015 Jun 22. PMID: 26101197; PMCID: PMC4550817."
249,26418287,T2DM,"Nilsson E, Matte A, Perfilyev A, de Mello VD, Käkelä P, Pihlajamäki J, Ling C. Epigenetic Alterations in Human Liver From Subjects With Type 2 Diabetes in Parallel With Reduced Folate Levels. J Clin Endocrinol Metab. 2015 Nov;100(11):E1491-501. doi: 10.1210/jc.2015-3204. Epub 2015 Sep 29. PMID: 26418287; PMCID: PMC4702449."
250,35836279,T2DM,"Chilunga FP, Meeks KAC, Henneman P, Agyemang C, Doumatey AP, Rotimi CN, Adeyemo AA. An epigenome-wide association study of insulin resistance in African Americans. Clin Epigenetics. 2022 Jul 14;14(1):88. doi: 10.1186/s13148-022-01309-4. PMID: 35836279; PMCID: PMC9281172."
251,26433941,T2DM,"Florath I, Butterbach K, Heiss J, Bewerunge-Hudler M, Zhang Y, Schöttker B, Brenner H. Type 2 diabetes and leucocyte DNA methylation: an epigenome-wide association study in over 1,500 older adults. Diabetologia. 2016 Jan;59(1):130-138. doi: 10.1007/s00125-015-3773-7. Epub 2015 Oct 3. PMID: 26433941."
252,26643952,T2DM,"Soriano-Tárraga C, Jiménez-Conde J, Giralt-Steinhauer E, Mola-Caminal M, Vivanco-Hidalgo RM, Ois A, Rodríguez-Campello A, Cuadrado-Godia E, Sayols-Baixeras S, Elosua R, Roquer J; GENESTROKE Consortium. Epigenome-wide association study identifies TXNIP gene associated with type 2 diabetes mellitus and sustained hyperglycemia. Hum Mol Genet. 2016 Feb 1;25(3):609-19. doi: 10.1093/hmg/ddv493. Epub 2015 Dec 7. PMID: 26643952."
253,26433941,T2DM,"Florath I, Butterbach K, Heiss J, Bewerunge-Hudler M, Zhang Y, Schöttker B, Brenner H. Type 2 diabetes and leucocyte DNA methylation: an epigenome-wide association study in over 1,500 older adults. Diabetologia. 2016 Jan;59(1):130-138. doi: 10.1007/s00125-015-3773-7. Epub 2015 Oct 3. PMID: 26433941."
254,36604111,T2DM,"Miller RG, Mychaleckyj JC, Onengut-Gumuscu S, Orchard TJ, Costacou T. TXNIP DNA methylation is associated with glycemic control over 28 years in type 1 diabetes: findings from the Pittsburgh Epidemiology of Diabetes Complications (EDC) study. BMJ Open Diabetes Res Care. 2023 Jan;11(1):e003068. doi: 10.1136/bmjdrc-2022-003068. PMID: 36604111; PMCID: PMC9827189."
255,29466957,T2DM,"Barajas-Olmos F, Centeno-Cruz F, Zerrweck C, Imaz-Rosshandler I, Martínez-Hernández A, Cordova EJ, Rangel-Escareño C, Gálvez F, Castillo A, Maydón H, Campos F, Maldonado-Pintado DG, Orozco L. Altered DNA methylation in liver and adipose tissues derived from individuals with obesity and type 2 diabetes. BMC Med Genet. 2018 Feb 21;19(1):28. doi: 10.1186/s12881-018-0542-8. PMID: 29466957; PMCID: PMC5822594."
256,26643952,T2DM,"Soriano-Tárraga C, Jiménez-Conde J, Giralt-Steinhauer E, Mola-Caminal M, Vivanco-Hidalgo RM, Ois A, Rodríguez-Campello A, Cuadrado-Godia E, Sayols-Baixeras S, Elosua R, Roquer J; GENESTROKE Consortium. Epigenome-wide association study identifies TXNIP gene associated with type 2 diabetes mellitus and sustained hyperglycemia. Hum Mol Genet. 2016 Feb 1;25(3):609-19. doi: 10.1093/hmg/ddv493. Epub 2015 Dec 7. PMID: 26643952."
257,34774679,T2DM,"Wang Z, Peng H, Gao W, Cao W, Lv J, Yu C, Huang T, Sun D, Wang B, Liao C, Pang Y, Pang Z, Cong L, Wang H, Wu X, Liu Y, Li L. Blood DNA methylation markers associated with type 2 diabetes, fasting glucose, and HbA1c levels: An epigenome-wide association study in 316 adult twin pairs. Genomics. 2021 Nov;113(6):4206-4213. doi: 10.1016/j.ygeno.2021.11.005. Epub 2021 Nov 10. PMID: 34774679."
258,37202507,T2DM,"Juvinao-Quintero DL, Sharp GC, Sanderson ECM, Relton CL, Elliott HR. Investigating causality in the association between DNA methylation and type 2 diabetes using bidirectional two-sample Mendelian randomisation. Diabetologia. 2023 Jul;66(7):1247-1259. doi: 10.1007/s00125-023-05914-7. Epub 2023 May 19. PMID: 37202507; PMCID: PMC10244277."
259,33842983,T2DM,"Chung RH, Chiu YF, Wang WC, Hwu CM, Hung YJ, Lee IT, Chuang LM, Quertermous T, Rotter JI, Chen YI, Chang IS, Hsiung CA. Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose. Diabetologia. 2021 Jul;64(7):1613-1625. doi: 10.1007/s00125-021-05449-9. Epub 2021 Apr 12. PMID: 33842983."
260,26823690,T2DM,"Al Muftah WA, Al-Shafai M, Zaghlool SB, Visconti A, Tsai PC, Kumar P, Spector T, Bell J, Falchi M, Suhre K. Epigenetic associations of type 2 diabetes and BMI in an Arab population. Clin Epigenetics. 2016 Jan 28;8:13. doi: 10.1186/s13148-016-0177-6. PMID: 26823690; PMCID: PMC4730771."
261,26977391,T2DM,"Kirchner H, Sinha I, Gao H, Ruby MA, Schönke M, Lindvall JM, Barrès R, Krook A, Näslund E, Dahlman-Wright K, Zierath JR. Altered DNA methylation of glycolytic and lipogenic genes in liver from obese and type 2 diabetic patients. Mol Metab. 2016 Jan 2;5(3):171-183. doi: 10.1016/j.molmet.2015.12.004. PMID: 26977391; PMCID: PMC4770265."
262,29164275,T2DM,"Walaszczyk E, Luijten M, Spijkerman AMW, Bonder MJ, Lutgers HL, Snieder H, Wolffenbuttel BHR, van Vliet-Ostaptchouk JV. DNA methylation markers associated with type 2 diabetes, fasting glucose and HbA1c levels: a systematic review and replication in a case-control sample of the Lifelines study. Diabetologia. 2018 Feb;61(2):354-368. doi: 10.1007/s00125-017-4497-7. Epub 2017 Nov 21. PMID: 29164275; PMCID: PMC6448925."
263, 29228058,T2DM,"Rodríguez-Rodero S, Menéndez-Torre E, Fernández-Bayón G, Morales-Sánchez P, Sanz L, Turienzo E, González JJ, Martinez-Faedo C, Suarez-Gutiérrez L, Ares J, Díaz-Naya L, Martin-Nieto A, Fernández-Morera JL, Fraga MF, Delgado-Álvarez E. Altered intragenic DNA methylation of HOOK2 gene in adipose tissue from individuals with obesity and type 2 diabetes. PLoS One. 2017 Dec 11;12(12):e0189153. doi: 10.1371/journal.pone.0189153. PMID: 29228058; PMCID: PMC5724849."
264,25651499,OBESITY,"Benton MC, Johnstone A, Eccles D, Harmon B, Hayes MT, Lea RA, Griffiths L, Hoffman EP, Stubbs RS, Macartney-Coxson D. An analysis of DNA methylation in human adipose tissue reveals differential modification of obesity genes before and after gastric bypass and weight loss. Genome Biol. 2015 Jan 22;16(1):8. doi: 10.1186/s13059-014-0569-x. PMID: 25651499; PMCID: PMC4301800."
265,28123940,OBESITY,"Keller M, Hopp L, Liu X, Wohland T, Rohde K, Cancello R, Klös M, Bacos K, Kern M, Eichelmann F, Dietrich A, Schön MR, Gärtner D, Lohmann T, Dreßler M, Stumvoll M, Kovacs P, DiBlasio AM, Ling C, Binder H, Blüher M, Böttcher Y. Genome-wide DNA promoter methylation and transcriptome analysis in human adipose tissue unravels novel candidate genes for obesity. Mol Metab. 2016 Nov 16;6(1):86-100. doi: 10.1016/j.molmet.2016.11.003. PMID: 28123940; PMCID: PMC5220399."
266,30107520,T2DM,"Meeks KAC, Henneman P, Venema A, Addo J, Bahendeka S, Burr T, Danquah I, Galbete C, Mannens MMAM, Mockenhaupt FP, Owusu-Dabo E, Rotimi CN, Schulze MB, Smeeth L, Spranger J, Zafarmand MH, Adeyemo A, Agyemang C. Epigenome-wide association study in whole blood on type 2 diabetes among sub-Saharan African individuals: findings from the RODAM study. Int J Epidemiol. 2019 Feb 1;48(1):58-70. doi: 10.1093/ije/dyy171. PMID: 30107520; PMCID: PMC6380309."
267,31506343,T2DM,"Cardona A, Day FR, Perry JRB, Loh M, Chu AY, Lehne B, Paul DS, Lotta LA, Stewart ID, Kerrison ND, Scott RA, Khaw KT, Forouhi NG, Langenberg C, Liu C, Mendelson MM, Levy D, Beck S, Leslie RD, Dupuis J, Meigs JB, Kooner JS, Pihlajamäki J, Vaag A, Perfilyev A, Ling C, Hivert MF, Chambers JC, Wareham NJ, Ong KK. Epigenome-Wide Association Study of Incident Type 2 Diabetes in a British Population: EPIC-Norfolk Study. Diabetes. 2019 Dec;68(12):2315-2326. doi: 10.2337/db18-0290. Epub 2019 Sep 10. PMID: 31506343; PMCID: PMC6868468."
268,31919985,T2DM,"Zhang D, Cheng C, Cao M, Wang T, Chen X, Zhao Y, Wang B, Ren Y, Liu D, Liu L, Chen X, Liu F, Zhou Q, Tian G, Li Q, Guo C, Li H, Wang J, Cheng R, Hu D, Zhang M. TXNIP hypomethylation and its interaction with obesity and hypertriglyceridemia increase type 2 diabetes mellitus risk: A nested case-control study. J Diabetes. 2020 Jul;12(7):512-520. doi: 10.1111/1753-0407.13021. Epub 2020 Jan 23. PMID: 31919985."
269,25783037,OBESITY,"Dahlman I, Sinha I, Gao H, Brodin D, Thorell A, Rydén M, Andersson DP, Henriksson J, Perfilyev A, Ling C, Dahlman-Wright K, Arner P. The fat cell epigenetic signature in post-obese women is characterized by global hypomethylation and differential DNA methylation of adipogenesis genes. Int J Obes (Lond). 2015 Jun;39(6):910-9. doi: 10.1038/ijo.2015.31. Epub 2015 Mar 18. PMID: 25783037."
270,32114485,T2DM,"Rohde K, Rønningen T, la Cour Poulsen L, Keller M, Blüher M, Böttcher Y. Role of the DNA repair genes H2AX and HMGB1 in human fat distribution and lipid profiles. BMJ Open Diabetes Res Care. 2020 Feb;8(1):e000831. doi: 10.1136/bmjdrc-2019-000831. PMID: 32114485; PMCID: PMC7050360."
271,35169870,T2DM,"Fraszczyk E, Spijkerman AMW, Zhang Y, Brandmaier S, Day FR, Zhou L, Wackers P, Dollé MET, Bloks VW, Gào X, Gieger C, Kooner J, Kriebel J, Picavet HSJ, Rathmann W, Schöttker B, Loh M, Verschuren WMM, van Vliet-Ostaptchouk JV, Wareham NJ, Chambers JC, Ong KK, Grallert H, Brenner H, Luijten M, Snieder H. Epigenome-wide association study of incident type 2 diabetes: a meta-analysis of five prospective European cohorts. Diabetologia. 2022 May;65(5):763-776. doi: 10.1007/s00125-022-05652-2. Epub 2022 Feb 15. PMID: 35169870; PMCID: PMC8960572."
272,35947335,T2DM,"Fraszczyk E, Thio CHL, Wackers P, Dollé MET, Bloks VW, Hodemaekers H, Picavet HS, Stynenbosch M, Verschuren WMM, Snieder H, Spijkerman AMW, Luijten M. DNA methylation trajectories and accelerated epigenetic aging in incident type 2 diabetes. Geroscience. 2022 Dec;44(6):2671-2684. doi: 10.1007/s11357-022-00626-z. Epub 2022 Aug 10. PMID: 35947335; PMCID: PMC9768051."
273,28473875,OBESITY,"Macartney-Coxson D, Benton MC, Blick R, Stubbs RS, Hagan RD, Langston MA. Genome-wide DNA methylation analysis reveals loci that distinguish different types of adipose tissue in obese individuals. Clin Epigenetics. 2017 May 3;9:48. doi: 10.1186/s13148-017-0344-4. PMID: 28473875; PMCID: PMC5415776."
274,37679740,T2DM,"Yousri NA, Albagha OME, Hunt SC. Integrated epigenome, whole genome sequence and metabolome analyses identify novel multi-omics pathways in type 2 diabetes: a Middle Eastern study. BMC Med. 2023 Sep 8;21(1):347. doi: 10.1186/s12916-023-03027-x. PMID: 37679740; PMCID: PMC10485955."
275,35399937,T2DM,"He Y, Li Y, Zhang J, Chen L, Li J, Zhang M, Zhang Q, Lu Y, Jiang J, Zhang X, Hu J, Ding Y, Zhang M, Peng H. FURIN Promoter Methylation Predicts the Risk of Incident Diabetes: A Prospective Analysis in the Gusu Cohort. Front Endocrinol (Lausanne). 2022 Mar 25;13:873012. doi: 10.3389/fendo.2022.873012. PMID: 35399937; PMCID: PMC8990793."
276,33096472,Familial hypercholesterolemia (FH),"Reeskamp LF, Venema A, Pereira JPB, Levin E, Nieuwdorp M, Groen AK, Defesche JC, Grefhorst A, Henneman P, Hovingh GK. Differential DNA methylation in familial hypercholesterolemia. EBioMedicine. 2020 Nov;61:103079. doi: 10.1016/j.ebiom.2020.103079. Epub 2020 Oct 21. PMID: 33096472; PMCID: PMC7581877."
277, 37286669,Familial hypercholesterolemia (FH),"Zorzo RA, Suen VMM, Santos JE, Silva-Jr WA, Suazo VK, Honorato ALSC, Santos RD, Jannes CE, Pereira A, Krieger JE, Liberatore-Jr RDR. LDLR gene's promoter region hypermethylation in patients with familial hypercholesterolemia. Sci Rep. 2023 Jun 7;13(1):9241. doi: 10.1038/s41598-023-34639-1. PMID: 37286669; PMCID: PMC10247769."
278,33129683,Familial hypercholesterolemia (FH),"Borges JB, Oliveira VF, Ferreira GM, Los B, Barbosa TKAA, Marçal EDSR, Dagli-Hernandez C, de Freitas RCC, Bortolin RH, Mori AA, Hirata TDC, Nakaya HTI, Bastos GM, Thurow HS, Gonçalves RM, Araujo DB, Zatz HP, Bertolami A, Faludi AA, Bertolami MC, Sousa AGMR, França JÍD, Jannes CE, Pereira ADC, Nakazone MA, Souza DRS, Carmo TS, Sampaio MF, Gorjão R, Pithon-Curi TC, Moriel P, Silbiger VN, Luchessi AD, de Araújo JNG, Naslavsky MS, Wang JYT, Kronenberger T, Cerda A, Lin-Wang HT, Garofalo AR, Fajardo CM, Hirata RDC, Hirata MH. Genomics, epigenomics and pharmacogenomics of familial hypercholesterolemia (FHBGEP): A study protocol. Res Social Adm Pharm. 2021 Jul;17(7):1347-1355. doi: 10.1016/j.sapharm.2020.10.007. Epub 2020 Oct 29. PMID: 33129683."
279,33028190,Hypercholesterolemia ,"P?atek T, Polus A, Góralska J, Ra?ny U, Gruca A, Kie?-Wilk B, Zabielski P, Kapusta M, S?owi?ska-Solnica K, Solnica B, Malczewska-Malec M, Dembi?ska-Kie? A. DNA methylation microarrays identify epigenetically regulated lipid related genes in obese patients with hypercholesterolemia. Mol Med. 2020 Oct 7;26(1):93. doi: 10.1186/s10020-020-00220-z. PMID: 33028190; PMCID: PMC7539457."
280,29582722,Physical activity,"Caspers M, Blocquiaux S, Charlier R, Knaeps S, Lefevre J, De Bock K, Thomis M. Intensity-Specific Differential Leukocyte DNA Methylation in Physical (In)Activity: An Exploratory Approach. Twin Res Hum Genet. 2018 Apr;21(2):101-111. doi: 10.1017/thg.2018.10. PMID: 29582722."
281,31652233,Physical activity,"Fernández-Sanlés A, Sayols-Baixeras S, Castro DE Moura M, Esteller M, Subirana I, Torres-Cuevas S, Pérez-Fernández S, Aslibekyan S, Marrugat J, Elosua R. Physical Activity and Genome-wide DNA Methylation: The REgistre GIroní del COR Study. Med Sci Sports Exerc. 2020 Mar;52(3):589-597. doi: 10.1249/MSS.0000000000002174. PMID: 31652233; PMCID: PMC7023998."
282,35700439,Physical activity,"Nishida Y, Hara M, Ohmomo H, Ono K, Shimizu A, Horita M, Shimanoe C, Taguchi N, Higaki Y, Tanaka K. Epigenome-Wide Association Study Identified VTI1A DNA Methylation Associated With Accelerometer-Assessed Physical Activity. Med Sci Sports Exerc. 2022 Nov 1;54(11):1879-1888. doi: 10.1249/MSS.0000000000002970. Epub 2022 Jun 11. PMID: 35700439."
283,30376510,Physical activity,"VAN Roekel EH, Dugué PA, Jung CH, Joo JE, Makalic E, Wong EEM, English DR, Southey MC, Giles GG, Lynch BM, Milne RL. Physical Activity, Television Viewing Time, and DNA Methylation in Peripheral Blood. Med Sci Sports Exerc. 2019 Mar;51(3):490-498. doi: 10.1249/MSS.0000000000001827. PMID: 30376510."
284,32883357,Hypertension,"Li J, Zhu J, Ren L, Ma S, Shen B, Yu J, Zhang R, Zhang M, He Y, Peng H. Association between NPPA promoter methylation and hypertension: results from Gusu cohort and replication in an independent sample. Clin Epigenetics. 2020 Sep 3;12(1):133. doi: 10.1186/s13148-020-00927-0. PMID: 32883357; PMCID: PMC7469321."
285,35001659,Hypertension,"Xiao L, Zan G, Liu C, Xu X, Li L, Chen X, Zhang Z, Yang X. Associations Between Blood Pressure and Accelerated DNA Methylation Aging. J Am Heart Assoc. 2022 Feb;11(3):e022257. doi: 10.1161/JAHA.121.022257. Epub 2022 Jan 8. PMID: 35001659; PMCID: PMC9238504."
286,36172862,Hypertension,"Bai C, Su M, Zhang Y, Lin Y, Sun Y, Song L, Xiao N, Xu H, Wen H, Zhang M, Ping J, Liu J, Hui R, Li H, Chen J. Oviductal Glycoprotein 1 Promotes Hypertension by Inducing Vascular Remodeling Through an Interaction With MYH9. Circulation. 2022 Nov;146(18):1367-1382. doi: 10.1161/CIRCULATIONAHA.121.057178. Epub 2022 Sep 29. PMID: 36172862."
287,31999706,Hypertension,"Kazmi N, Elliott HR, Burrows K, Tillin T, Hughes AD, Chaturvedi N, Gaunt TR, Relton CL. Associations between high blood pressure and DNA methylation. PLoS One. 2020 Jan 30;15(1):e0227728. doi: 10.1371/journal.pone.0227728. PMID: 31999706; PMCID: PMC6991984."
288,32520614,Hypertension,"Huang Y, Ollikainen M, Muniandy M, Zhang T, van Dongen J, Hao G, van der Most PJ, Pan Y, Pervjakova N, Sun YV, Hui Q, Lahti J, Fraszczyk E, Lu X, Sun D, Richard MA, Willemsen G, Heikkila K, Mateo Leach I, Mononen N, Kähönen M, Hurme MA, Raitakari OT, Drake AJ, Perola M, Nuotio ML, Huang Y, Khulan B, Räikkönen K, Wolffenbuttel BHR, Zhernakova A, Fu J, Zhu H, Dong Y, van Vliet-Ostaptchouk JV, Franke L, Eriksson JG, Fornage M, Milani L, Lehtimäki T, Vaccarino V, Boomsma DI, van der Harst P, de Geus EJC, Salomaa V, Li S, Chen W, Su S, Wilson J, Snieder H, Kaprio J, Wang X. Identification, Heritability, and Relation With Gene Expression of Novel DNA Methylation Loci for Blood Pressure. Hypertension. 2020 Jul;76(1):195-205. doi: 10.1161/HYPERTENSIONAHA.120.14973. Epub 2020 Jun 10. PMID: 32520614; PMCID: PMC7295009."
289,27105587,Hypertension,"Boström AE, Mwinyi J, Voisin S, Wu W, Schultes B, Zhang K, Schiöth HB. Longitudinal genome-wide methylation study of Roux-en-Y gastric bypass patients reveals novel CpG sites associated with essential hypertension. BMC Med Genomics. 2016 Apr 22;9:20. doi: 10.1186/s12920-016-0180-y. PMID: 27105587; PMCID: PMC4841955."
290,29198723,Hypertension,"Richard MA, Huan T, Ligthart S, Gondalia R, Jhun MA, Brody JA, Irvin MR, Marioni R, Shen J, Tsai PC, Montasser ME, Jia Y, Syme C, Salfati EL, Boerwinkle E, Guan W, Mosley TH Jr, Bressler J, Morrison AC, Liu C, Mendelson MM, Uitterlinden AG, van Meurs JB; BIOS Consortium; Franco OH, Zhang G, Li Y, Stewart JD, Bis JC, Psaty BM, Chen YI, Kardia SLR, Zhao W, Turner ST, Absher D, Aslibekyan S, Starr JM, McRae AF, Hou L, Just AC, Schwartz JD, Vokonas PS, Menni C, Spector TD, Shuldiner A, Damcott CM, Rotter JI, Palmas W, Liu Y, Paus T, Horvath S, O'Connell JR, Guo X, Pausova Z, Assimes TL, Sotoodehnia N, Smith JA, Arnett DK, Deary IJ, Baccarelli AA, Bell JT, Whitsel E, Dehghan A, Levy D, Fornage M. DNA Methylation Analysis Identifies Loci for Blood Pressure Regulation. Am J Hum Genet. 2017 Dec 7;101(6):888-902. doi: 10.1016/j.ajhg.2017.09.028. Epub 2017 Nov 30. PMID: 29198723; PMCID: PMC5812919."
291,35740428,Hypertension,"Nguyen TM, Le HL, Hwang KB, Hong YC, Kim JH. Predicting High Blood Pressure Using DNA Methylome-Based Machine Learning Models. Biomedicines. 2022 Jun 14;10(6):1406. doi: 10.3390/biomedicines10061406. PMID: 35740428; PMCID: PMC9220060."
292,36345830,Hypertension,"Hong X, Miao K, Cao W, Lv J, Yu C, Huang T, Sun D, Liao C, Pang Y, Pang Z, Yu M, Wang H, Wu X, Liu Y, Gao W, Li L. Association Between DNA Methylation and Blood Pressure: A 5-Year Longitudinal Twin Study. Hypertension. 2023 Jan;80(1):169-181. doi: 10.1161/HYPERTENSIONAHA.122.19953. Epub 2022 Nov 8. PMID: 36345830."
293,23508416,Hypertension,"Alexeeff SE, Baccarelli AA, Halonen J, Coull BA, Wright RO, Tarantini L, Bollati V, Sparrow D, Vokonas P, Schwartz J. Association between blood pressure and DNA methylation of retrotransposons and pro-inflammatory genes. Int J Epidemiol. 2013 Feb;42(1):270-80. doi: 10.1093/ije/dys220. PMID: 23508416; PMCID: PMC3600626."
294,33448462,Hypertension,"Barcelona V, Wang Z, Crusto C, Hui Q, Sun YV, Taylor JY. High blood pressure in pregnancy, DNA methylation, and later blood pressure in African American women enrolled in the InterGEN Study. Birth. 2020 Sep;47(3):290-298. doi: 10.1111/birt.12501. Epub 2020 Aug 15. PMID: 33448462; PMCID: PMC7876779."
295,37117043,Hypertension,"Shi J, Wu L, Chen Y, Zhang M, Yu J, Ren L, He Y, Li J, Ma S, Hu W, Peng H. Association between CORIN methylation and hypertension in Chinese adults. Postgrad Med J. 2022 Aug 1:pmj-2022-141802. doi: 10.1136/pmj-2022-141802. Epub ahead of print. PMID: 37117043."
296,36855111,Sroke,"Phillips CM, Stamatovic SM, Keep RF, Andjelkovic AV. Epigenetics and stroke: role of DNA methylation and effect of aging on blood-brain barrier recovery. Fluids Barriers CNS. 2023 Feb 28;20(1):14. doi: 10.1186/s12987-023-00414-7. PMID: 36855111; PMCID: PMC9972738."
